Job Post ID,Required Education Level,Years of Experience
D2B5S6,High School or Equivalent,1-2 years
D5H3U5,High School or Equivalent,5-6 years
D5X8Y2,High School or Equivalent,5-6 years
D7T2S4,Bachelor큦 Degree,10+ years
D8U7U6,High School or Equivalent,7-8 years
E2B2X7,Below High School,3-4 years
E2B4M7,Certificate/Diploma,5-6 years
E2Y3U2,Certificate/Diploma,1-2 years
E6G5Y4,High School or Equivalent,1-2 years
E6T3A5,Bachelor큦 Degree,3-4 years
E7P4Q8,High School or Equivalent,3-4 years
E8B4U3,High School or Equivalent,5-6 years
F5H6T8,Certificate/Diploma,1-2 years
F5R8G2,Bachelor큦 Degree,10+ years
F6Q7Q6,Bachelor큦 Degree,5-6 years
G2C6E6,High School or Equivalent,3-4 years
G3G4J2,Certificate/Diploma,3-4 years
G3M3N2,High School or Equivalent,3-4 years
G4A4D7,High School or Equivalent,3-4 years
G4C5A3,Some College/University,5-6 years
G7A2T5,High School or Equivalent,1-2 years
G7R8P3,High School or Equivalent,5-6 years
G8B3H3,High School or Equivalent,7-8 years
H4G2A8,Bachelor큦 Degree,5-6 years
H4S6C8,High School or Equivalent,9-10 years
H5R7E4,Certificate/Diploma,5-6 years
H6C4E2,Below High School,5-6 years
H7U8F8,Certificate/Diploma,3-4 years
H8K8T5,Below High School,3-4 years
H8X3D3,High School or Equivalent,3-4 years
J3E7M2,Bachelor큦 Degree,10+ years
J4K7C7,High School or Equivalent,5-6 years
J4W5S6,High School or Equivalent,7-8 years
J5U7Q3,High School or Equivalent,3-4 years
J5W3M7,High School or Equivalent,3-4 years
J5Y7W3,Bachelor큦 Degree,5-6 years
J6P4T5,Below High School,5-6 years
J7K3C5,High School or Equivalent,3-4 years
J8X3V2,Bachelor큦 Degree,5-6 years
J8X5T2,High School or Equivalent,Less than 1 year
K3D6U2,High School or Equivalent,3-4 years
K4R4M5,Below High School,1-2 years
K6J4A2,High School or Equivalent,3-4 years
K7U3S4,High School or Equivalent,3-4 years
K8R2Q7,High School or Equivalent,1-2 years
K8Y6M8,High School or Equivalent,5-6 years
M7G3X7,Bachelor큦 Degree,7-8 years
M7R4E3,Some College/University,5-6 years
N2S2F6,High School or Equivalent,3-4 years
N2W2X5,High School or Equivalent,3-4 years
N3K5N8,High School or Equivalent,1-2 years
N3P3G6,High School or Equivalent,3-4 years
N8Y2W6,High School or Equivalent,1-2 years
P2W2E8,High School or Equivalent,5-6 years
P3A4Q2,High School or Equivalent,1-2 years
P4G8R7,Some College/University,Less than 1 year
P6D3K3,Associate Degree,1-2 years
P6Q4Y6,High School or Equivalent,5-6 years
P7C2P4,High School or Equivalent,9-10 years
P8Y6U5,High School or Equivalent,3-4 years
Q2M5Y2,Certificate/Diploma,3-4 years
Q3F2T5,Associate Degree,1-2 years
Q3V4R5,High School or Equivalent,3-4 years
Q6A5K3,Below High School,7-8 years
Q7C4U7,Certificate/Diploma,3-4 years
Q7C5P2,Associate Degree,5-6 years
Q7M3A4,High School or Equivalent,1-2 years
Q7X7J2,High School or Equivalent,1-2 years
Q8Y4D5,High School or Equivalent,3-4 years
R2A2M8,High School or Equivalent,5-6 years
R4J6F8,Bachelor큦 Degree,1-2 years
R5V4S5,High School or Equivalent,1-2 years
R7A2A5,Bachelor큦 Degree,1-2 years
R7P4J7,High School or Equivalent,10+ years
R8D4H3,Bachelor큦 Degree,5-6 years
R8U4K2,Certificate/Diploma,5-6 years
S3H8P7,Some College/University,3-4 years
S3U5E4,High School or Equivalent,10+ years
S5D6E5,High School or Equivalent,3-4 years
S5V6T2,High School or Equivalent,5-6 years
S6E5X8,High School or Equivalent,10+ years
S8N3C6,High School or Equivalent,5-6 years
S8X6F8,High School or Equivalent,1-2 years
T4P2B8,Associate Degree,3-4 years
T4R2K2,Bachelor큦 Degree,3-4 years
T6M5H7,High School or Equivalent,3-4 years
T7C2U8,High School or Equivalent,1-2 years
T7T3C4,High School or Equivalent,1-2 years
U2N3U3,High School or Equivalent,1-2 years
U2W2E4,High School or Equivalent,5-6 years
U3R3U2,Bachelor큦 Degree,1-2 years
U3W2T7,High School or Equivalent,5-6 years
U4K2A8,High School or Equivalent,3-4 years
U5S8V5,High School or Equivalent,3-4 years
U6F2A5,Below High School,5-6 years
U6S4U5,Below High School,10+ years
V2F5B7,High School or Equivalent,3-4 years
V3H2H3,High School or Equivalent,Less than 1 year
V3X7Y4,Bachelor큦 Degree,5-6 years
V5H5X8,High School or Equivalent,1-2 years
V5Q7W6,Bachelor큦 Degree,1-2 years
V6W3A3,High School or Equivalent,Less than 1 year
V7M3G6,High School or Equivalent,3-4 years
V7X6T5,High School or Equivalent,3-4 years
W2N5R3,High School or Equivalent,3-4 years
W2U3T4,High School or Equivalent,1-2 years
W2V8X7,High School or Equivalent,1-2 years
W2Y7B2,High School or Equivalent,5-6 years
W3C6X8,High School or Equivalent,5-6 years
W4F3J3,High School or Equivalent,3-4 years
W6F2M7,Certificate/Diploma,5-6 years
W8J7S7,High School or Equivalent,1-2 years
W8Q4M4,Bachelor큦 Degree,10+ years
X3P7H8,High School or Equivalent,10+ years
X3Y7Q5,High School or Equivalent,3-4 years
X7J2P6,High School or Equivalent,1-2 years
X8B3M7,High School or Equivalent,1-2 years
X8X8M8,Bachelor큦 Degree,5-6 years
Y3V8X2,Certificate/Diploma,3-4 years
Y4S2G7,Bachelor큦 Degree,5-6 years
Y6R5A6,Certificate/Diploma,3-4 years
Y7R3H7,High School or Equivalent,5-6 years
A6S2B6,Bachelor큦 Degree,5-6 years
B2S6U4,Some College/University,9-10 years
B6K5Q3,Bachelor큦 Degree,3-4 years
D6R6B5,Bachelor큦 Degree,3-4 years
D7U5R4,Some College/University,1-2 years
E2A2J4,Certificate/Diploma,1-2 years
G3C2G6,High School or Equivalent,5-6 years
G7H5Y3,Below High School,Less than 1 year
G7R4P6,High School or Equivalent,5-6 years
H3Q6G4,High School or Equivalent,5-6 years
J7S6U5,Certificate/Diploma,10+ years
J8U3T7,Bachelor큦 Degree,5-6 years
K2H2D7,Below High School,10+ years
K2U8S4,Bachelor큦 Degree,7-8 years
N6D6S8,High School or Equivalent,5-6 years
P4M4J2,High School or Equivalent,5-6 years
Q2V4Y3,High School or Equivalent,3-4 years
Q5N3A3,High School or Equivalent,3-4 years
Q8G5E4,Certificate/Diploma,1-2 years
R8C6U7,High School or Equivalent,1-2 years
T3B4H3,Bachelor큦 Degree,3-4 years
T8J7H5,Bachelor큦 Degree,7-8 years
V2V7D8,High School or Equivalent,5-6 years
V2W2B4,High School or Equivalent,1-2 years
X2B4Y3,Bachelor큦 Degree,5-6 years
Y8A8X2,High School or Equivalent,1-2 years
C8F2S3,High School or Equivalent,3-4 years
Q8H8V4,High School or Equivalent,1-2 years
R3Q6V7,Below High School,1-2 years
A4P5R2,High School or Equivalent,1-2 years
C4N3W7,High School or Equivalent,1-2 years
C7J6B4,High School or Equivalent,5-6 years
G5J2C4,Bachelor큦 Degree,5-6 years
P3A5R4,Bachelor큦 Degree,3-4 years
Q6X3H7,Below High School,5-6 years
V8H3N6,High School or Equivalent,1-2 years
W4D4E2,High School or Equivalent,1-2 years
X2T6E5,Associate Degree,3-4 years
A7N4Y8,High School or Equivalent,1-2 years
A8J2C8,Certificate/Diploma,5-6 years
B2J4E3,High School or Equivalent,1-2 years
B5E6Q3,Below High School,5-6 years
C3P8D5,Some College/University,3-4 years
C6T4R7,Certificate/Diploma,10+ years
C7J8K6,High School or Equivalent,No experience
C8J3T6,High School or Equivalent,3-4 years
D4X2S8,Below High School,3-4 years
D5T6S8,Certificate/Diploma,5-6 years
D7B4K7,Certificate/Diploma,1-2 years
D8G7G4,High School or Equivalent,1-2 years
E3U4D5,High School or Equivalent,10+ years
E4T5M8,Some College/University,3-4 years
E6B4T6,Some College/University,3-4 years
F6E4H7,High School or Equivalent,3-4 years
F7A8R4,Below High School,3-4 years
F8F3C5,High School or Equivalent,1-2 years
G5K4R8,Certificate/Diploma,3-4 years
H2X2N5,High School or Equivalent,1-2 years
H6X8H8,High School or Equivalent,1-2 years
J8U6W3,Certificate/Diploma,3-4 years
K8H2R2,High School or Equivalent,3-4 years
M2C5K4,Some College/University,3-4 years
M7W5P5,High School or Equivalent,1-2 years
M8Q6P4,Certificate/Diploma,5-6 years
N7U5D2,High School or Equivalent,3-4 years
N8G3X4,Some College/University,3-4 years
P3B4E3,Below High School,5-6 years
P6F4R2,Bachelor큦 Degree,3-4 years
P8V5H2,Below High School,1-2 years
Q2D7C3,High School or Equivalent,3-4 years
Q2E2N4,High School or Equivalent,5-6 years
Q2K8Y2,Bachelor큦 Degree,5-6 years
Q5V4J2,High School or Equivalent,3-4 years
Q5V6S7,High School or Equivalent,3-4 years
Q6W2T4,High School or Equivalent,1-2 years
S4B3Y2,Certificate/Diploma,5-6 years
S7A2K3,Below High School,1-2 years
S7Y6D5,High School or Equivalent,1-2 years
S8S4K4,Some College/University,3-4 years
T3N7W2,High School or Equivalent,1-2 years
T4S2C7,Bachelor큦 Degree,3-4 years
T5N4W4,High School or Equivalent,3-4 years
T7Y7A7,High School or Equivalent,3-4 years
U4M3G2,Associate Degree,1-2 years
U5K5D8,Some College/University,3-4 years
U5Q4D3,High School or Equivalent,3-4 years
U5X3A8,High School or Equivalent,3-4 years
V4K7H5,Below High School,1-2 years
V6D5S5,Bachelor큦 Degree,3-4 years
V7F2E2,Some College/University,3-4 years
W3J7U6,Bachelor큦 Degree,1-2 years
W5D3T8,High School or Equivalent,1-2 years
X3E2G2,Certificate/Diploma,1-2 years
X4G6C4,High School or Equivalent,5-6 years
Y3V7C2,Bachelor큦 Degree,10+ years
Y7J4D7,Some College/University,3-4 years
Y8N2U2,High School or Equivalent,3-4 years
A2U5S4,High School or Equivalent,3-4 years
A3B8U8,High School or Equivalent,3-4 years
A3M2P5,Certificate/Diploma,10+ years
A3N5M7,High School or Equivalent,1-2 years
A5H3Y6,Below High School,3-4 years
A5Y8Q7,High School or Equivalent,Less than 1 year
B2K4U3,Bachelor큦 Degree,10+ years
B3J5P2,High School or Equivalent,1-2 years
B4S2S6,High School or Equivalent,1-2 years
B5E4U2,Certificate/Diploma,5-6 years
B7N3E7,High School or Equivalent,3-4 years
B7S6V8,High School or Equivalent,5-6 years
B7Y2K8,High School or Equivalent,5-6 years
C3C6V7,High School or Equivalent,3-4 years
C4K4T4,Below High School,1-2 years
C5R8U4,Some College/University,3-4 years
C7E5U7,High School or Equivalent,5-6 years
D2A7H4,Certificate/Diploma,3-4 years
D2W4E6,High School or Equivalent,1-2 years
D4N5N6,Certificate/Diploma,7-8 years
D5U6C8,Bachelor큦 Degree,1-2 years
D6F5A7,High School or Equivalent,1-2 years
D7F7M7,High School or Equivalent,3-4 years
D8H7E6,High School or Equivalent,1-2 years
D8S2W7,High School or Equivalent,5-6 years
E2G5H7,Associate Degree,1-2 years
E4D6M7,Bachelor큦 Degree,5-6 years
E6C5M6,High School or Equivalent,9-10 years
E6C7X7,Bachelor큦 Degree,3-4 years
E6V3X3,High School or Equivalent,3-4 years
E7B7X6,High School or Equivalent,3-4 years
E7E5N5,Certificate/Diploma,5-6 years
E7H6T2,Certificate/Diploma,1-2 years
E7Q6V5,High School or Equivalent,3-4 years
E8M3T8,High School or Equivalent,5-6 years
F2H3R2,High School or Equivalent,1-2 years
F3C7K3,Bachelor큦 Degree,5-6 years
F3F6T7,Bachelor큦 Degree,5-6 years
F3K8E3,Bachelor큦 Degree,7-8 years
F3M4F5,High School or Equivalent,1-2 years
F3N2R3,High School or Equivalent,3-4 years
F4E8R2,Bachelor큦 Degree,3-4 years
F6Y7J2,High School or Equivalent,3-4 years
G2J6B5,Bachelor큦 Degree,3-4 years
G7B5R3,Certificate/Diploma,3-4 years
G8C8P8,High School or Equivalent,Less than 1 year
H2E3H6,High School or Equivalent,5-6 years
H3E6E5,Bachelor큦 Degree,3-4 years
H3Y8Y5,Below High School,10+ years
H5M8M3,Bachelor큦 Degree,3-4 years
H6B2E8,Below High School,5-6 years
H8X8C5,Bachelor큦 Degree,10+ years
J3M3S4,Certificate/Diploma,10+ years
J4G7W4,High School or Equivalent,3-4 years
J5K7Y5,Certificate/Diploma,3-4 years
J5M2C3,High School or Equivalent,3-4 years
J5X2G2,Below High School,1-2 years
J6C2S3,High School or Equivalent,1-2 years
J6N7K3,High School or Equivalent,1-2 years
J8H7N8,Bachelor큦 Degree,5-6 years
J8J7F6,High School or Equivalent,3-4 years
J8K7N5,Bachelor큦 Degree,9-10 years
J8V7J6,High School or Equivalent,1-2 years
K2B5S4,Bachelor큦 Degree,10+ years
K2X2J2,High School or Equivalent,1-2 years
K7D6Y7,High School or Equivalent,5-6 years
K7D7R5,Bachelor큦 Degree,3-4 years
K7Q3U2,Certificate/Diploma,3-4 years
K8G8F4,High School or Equivalent,3-4 years
M2K3R2,Bachelor큦 Degree,5-6 years
M2P7P3,High School or Equivalent,10+ years
M3J2W4,High School or Equivalent,3-4 years
M3U4W7,Certificate/Diploma,10+ years
M3Y7U6,Bachelor큦 Degree,5-6 years
M4T6F5,High School or Equivalent,1-2 years
M4T7P2,Certificate/Diploma,5-6 years
M5S7G6,Associate Degree,1-2 years
M6G2X5,High School or Equivalent,1-2 years
M8J7P3,Certificate/Diploma,5-6 years
M8R5V6,Certificate/Diploma,3-4 years
N4V2D2,Certificate/Diploma,1-2 years
N5D7F7,Associate Degree,1-2 years
N5H8G6,Below High School,10+ years
N5K8U3,Some College/University,1-2 years
N5S7T7,Associate Degree,1-2 years
N8Q3H7,High School or Equivalent,5-6 years
N8Y3T6,Some College/University,3-4 years
P2R2C7,High School or Equivalent,5-6 years
P3T4C6,High School or Equivalent,9-10 years
P4P4Q7,High School or Equivalent,5-6 years
P7K3C2,Bachelor큦 Degree,1-2 years
P7T6M5,Bachelor큦 Degree,1-2 years
Q2B5N7,Bachelor큦 Degree,5-6 years
Q2R2D7,Below High School,5-6 years
Q3W6J6,High School or Equivalent,5-6 years
Q5Q4D2,Associate Degree,3-4 years
Q5V5J6,High School or Equivalent,1-2 years
Q6X3G2,Certificate/Diploma,3-4 years
Q7A6P3,High School or Equivalent,3-4 years
Q7G5C6,High School or Equivalent,9-10 years
Q8G3W6,High School or Equivalent,1-2 years
R2U3W6,High School or Equivalent,1-2 years
R5W7U8,High School or Equivalent,5-6 years
R6N2G3,High School or Equivalent,1-2 years
R8S5B5,High School or Equivalent,5-6 years
R8Y4K4,High School or Equivalent,1-2 years
S2A2T5,Bachelor큦 Degree,1-2 years
S2E3T8,High School or Equivalent,1-2 years
S3C3W8,Certificate/Diploma,5-6 years
S3Q5S8,High School or Equivalent,1-2 years
S3R7V2,Bachelor큦 Degree,3-4 years
S4J7V4,High School or Equivalent,9-10 years
S5M5T3,High School or Equivalent,1-2 years
S5R5N4,High School or Equivalent,1-2 years
S5W7A5,High School or Equivalent,10+ years
S5W8Q7,Certificate/Diploma,3-4 years
S8Q2T7,High School or Equivalent,3-4 years
T2M4F2,Below High School,3-4 years
T3U7B6,High School or Equivalent,5-6 years
T3V5X7,Bachelor큦 Degree,1-2 years
T5E6H2,High School or Equivalent,1-2 years
T6W6M6,Below High School,3-4 years
T8Q3S7,Bachelor큦 Degree,10+ years
T8T4J8,High School or Equivalent,1-2 years
U2Y5J2,Certificate/Diploma,1-2 years
U3N5D7,High School or Equivalent,5-6 years
U3W6H6,High School or Equivalent,3-4 years
U4N2U7,Certificate/Diploma,3-4 years
U5S5D7,High School or Equivalent,3-4 years
U8K4R4,Bachelor큦 Degree,5-6 years
U8N7H7,Bachelor큦 Degree,7-8 years
U8P5D7,Certificate/Diploma,3-4 years
V2N5K6,High School or Equivalent,5-6 years
V2V3Y8,High School or Equivalent,1-2 years
V4P7T8,High School or Equivalent,5-6 years
V5N8P8,High School or Equivalent,1-2 years
V6E6S5,High School or Equivalent,5-6 years
V6K4T4,High School or Equivalent,5-6 years
V6W8D4,Bachelor큦 Degree,5-6 years
V7D4T5,Certificate/Diploma,3-4 years
V8D4R5,High School or Equivalent,5-6 years
V8X3B8,High School or Equivalent,3-4 years
W2G2V6,High School or Equivalent,Less than 1 year
W3C3Y6,High School or Equivalent,1-2 years
W3P6H7,High School or Equivalent,1-2 years
W4A8W4,Certificate/Diploma,3-4 years
W6P6B7,High School or Equivalent,5-6 years
W7F5V5,High School or Equivalent,5-6 years
W7P7D5,High School or Equivalent,3-4 years
W8C8E3,Bachelor큦 Degree,3-4 years
W8M5P2,High School or Equivalent,3-4 years
W8N4G8,High School or Equivalent,7-8 years
W8V8T5,Bachelor큦 Degree,5-6 years
W8X8E4,Certificate/Diploma,10+ years
X2D8X6,High School or Equivalent,3-4 years
X2E5F7,High School or Equivalent,1-2 years
X2T7H4,High School or Equivalent,5-6 years
X3A4X4,Certificate/Diploma,5-6 years
X3B8B5,High School or Equivalent,3-4 years
X3C4A4,Below High School,5-6 years
X3C6Q8,Bachelor큦 Degree,3-4 years
X3G5J5,Bachelor큦 Degree,3-4 years
X3R6F8,Below High School,1-2 years
X3W8J2,High School or Equivalent,Less than 1 year
X5H3T5,High School or Equivalent,3-4 years
X5K4Q5,High School or Equivalent,1-2 years
X7J4W6,Certificate/Diploma,9-10 years
Y2U3F2,Certificate/Diploma,5-6 years
Y4J2B2,High School or Equivalent,3-4 years
Y4K4K2,High School or Equivalent,1-2 years
Y6A7J3,High School or Equivalent,3-4 years
Y8Y3J6,Below High School,5-6 years
C3X3U8,High School or Equivalent,7-8 years
C5J6C5,High School or Equivalent,9-10 years
C6N7K5,High School or Equivalent,3-4 years
E3Q8A8,High School or Equivalent,3-4 years
E5H7B2,High School or Equivalent,5-6 years
G7C2E8,Bachelor큦 Degree,5-6 years
J3P7E6,High School or Equivalent,1-2 years
K4R2C5,Bachelor큦 Degree,5-6 years
K4U5H2,High School or Equivalent,1-2 years
K6V8P6,High School or Equivalent,5-6 years
M2D7F5,High School or Equivalent,3-4 years
P5F6V4,Certificate/Diploma,5-6 years
Q4Y6T7,High School or Equivalent,3-4 years
R3Q6A5,High School or Equivalent,5-6 years
R5D2R5,Certificate/Diploma,9-10 years
T3K8S7,High School or Equivalent,3-4 years
U2T7D8,High School or Equivalent,1-2 years
U4U6H3,Bachelor큦 Degree,1-2 years
V2K4V3,Bachelor큦 Degree,3-4 years
V7X3Q6,High School or Equivalent,3-4 years
W4A4U4,High School or Equivalent,5-6 years
X6B8K7,High School or Equivalent,3-4 years
X8F8K6,Certificate/Diploma,1-2 years
Y2D3P4,High School or Equivalent,1-2 years
Y2J7Q2,Associate Degree,5-6 years
Y2W3S5,High School or Equivalent,3-4 years
Y6E2Q3,High School or Equivalent,1-2 years
A3M5R2,Bachelor큦 Degree,10+ years
A5D4T8,High School or Equivalent,9-10 years
A6Y4F6,High School or Equivalent,1-2 years
A7B5E5,High School or Equivalent,1-2 years
A7N2Q8,High School or Equivalent,1-2 years
B2C4J8,Certificate/Diploma,5-6 years
B2S6N6,High School or Equivalent,5-6 years
B5R3G2,High School or Equivalent,3-4 years
B6N4F7,Bachelor큦 Degree,5-6 years
B6X4G2,High School or Equivalent,1-2 years
B8G3M2,Bachelor큦 Degree,3-4 years
C3J3B7,Bachelor큦 Degree,10+ years
C3N4H4,High School or Equivalent,3-4 years
C4F8H2,High School or Equivalent,Less than 1 year
C5R8V2,High School or Equivalent,1-2 years
C5X7U3,Bachelor큦 Degree,Less than 1 year
C7A7J6,Bachelor큦 Degree,1-2 years
C7B7K8,High School or Equivalent,5-6 years
C8E6D2,Certificate/Diploma,3-4 years
C8N3N6,Doctoral Degree,10+ years
D2V5N4,Bachelor큦 Degree,7-8 years
D3P3Y8,Bachelor큦 Degree,5-6 years
D3V8M7,High School or Equivalent,3-4 years
D3W6F7,Bachelor큦 Degree,5-6 years
D4E4K5,Bachelor큦 Degree,5-6 years
D5C2C3,Certificate/Diploma,3-4 years
D6S7P3,Some College/University,1-2 years
D7N5C2,Bachelor큦 Degree,5-6 years
D8C7V5,Certificate/Diploma,9-10 years
E2E3H2,High School or Equivalent,5-6 years
E3G7S6,Below High School,7-8 years
E5G4M6,Below High School,Less than 1 year
E7D5E5,High School or Equivalent,1-2 years
E7Q2F3,Bachelor큦 Degree,1-2 years
E8B8N6,High School or Equivalent,10+ years
F3E4S4,High School or Equivalent,1-2 years
F3Y5M6,Bachelor큦 Degree,5-6 years
F4K4H2,Below High School,5-6 years
F5A4G6,Associate Degree,3-4 years
F6C2J5,High School or Equivalent,3-4 years
F6H6B7,Certificate/Diploma,3-4 years
F6M4C3,Bachelor큦 Degree,3-4 years
F8M2P2,Bachelor큦 Degree,5-6 years
G3Q2F4,Certificate/Diploma,3-4 years
G5N4X3,Bachelor큦 Degree,5-6 years
G5S6V3,Some College/University,3-4 years
G6Q3V4,Bachelor큦 Degree,1-2 years
G7J7Y4,High School or Equivalent,3-4 years
H4A8J3,Certificate/Diploma,1-2 years
H4D6Q8,Bachelor큦 Degree,10+ years
H4W2G2,Certificate/Diploma,1-2 years
H7C6A7,High School or Equivalent,5-6 years
H7D8X3,Certificate/Diploma,3-4 years
J2E8F8,Some College/University,3-4 years
J3X4H3,Certificate/Diploma,1-2 years
J5E2C4,High School or Equivalent,1-2 years
J6K3R5,Bachelor큦 Degree,3-4 years
J6N6B4,High School or Equivalent,10+ years
J8V4G3,Bachelor큦 Degree,3-4 years
K4D7M4,Bachelor큦 Degree,3-4 years
K4J5R4,High School or Equivalent,7-8 years
K4R6H3,High School or Equivalent,3-4 years
K6C2R5,Below High School,10+ years
M2P2K3,High School or Equivalent,3-4 years
M4K2H2,Certificate/Diploma,1-2 years
M5G6R2,High School or Equivalent,3-4 years
M6B7P4,Certificate/Diploma,10+ years
M6V3F4,High School or Equivalent,5-6 years
M7R8B6,Certificate/Diploma,3-4 years
M8B7A7,Bachelor큦 Degree,5-6 years
N2A6K4,High School or Equivalent,No experience
N3D7T2,Bachelor큦 Degree,10+ years
N5U6G7,Master큦 Degree,1-2 years
N6N4U3,High School or Equivalent,1-2 years
N7D7B7,Associate Degree,1-2 years
N7H7S2,Doctoral Degree,5-6 years
P4D4B5,Certificate/Diploma,3-4 years
P4R8H8,High School or Equivalent,1-2 years
P5T4C8,Bachelor큦 Degree,1-2 years
P8R7Y5,High School or Equivalent,3-4 years
Q2E8X4,High School or Equivalent,3-4 years
Q2J8S4,High School or Equivalent,5-6 years
Q2W7T7,Associate Degree,5-6 years
Q3F2T3,Certificate/Diploma,3-4 years
Q6Y8X8,Bachelor큦 Degree,5-6 years
R2J8K2,Bachelor큦 Degree,5-6 years
R2S7N8,Certificate/Diploma,7-8 years
R2T6Q5,High School or Equivalent,1-2 years
R4T6F2,Associate Degree,3-4 years
R4X8W2,High School or Equivalent,10+ years
R7D4J5,High School or Equivalent,3-4 years
R7G6J2,Bachelor큦 Degree,10+ years
R7S4H7,Below High School,5-6 years
S3M7W6,Bachelor큦 Degree,5-6 years
S7Q5V3,Certificate/Diploma,5-6 years
T2W6Y5,Bachelor큦 Degree,9-10 years
T3C8Y3,High School or Equivalent,5-6 years
T4E7N7,Master큦 Degree,1-2 years
T8H5H3,High School or Equivalent,5-6 years
U2N7J5,Bachelor큦 Degree,10+ years
U2U6T2,High School or Equivalent,3-4 years
U2W3N4,High School or Equivalent,5-6 years
U4A5V3,Bachelor큦 Degree,5-6 years
U6D6R4,High School or Equivalent,1-2 years
U6E2A5,Certificate/Diploma,3-4 years
U7X4J5,Certificate/Diploma,5-6 years
U8U3E4,Bachelor큦 Degree,1-2 years
V2T7X2,High School or Equivalent,3-4 years
V3D8X4,Associate Degree,1-2 years
V5K6A6,High School or Equivalent,1-2 years
V8Q8R4,High School or Equivalent,1-2 years
W2Y8M2,High School or Equivalent,5-6 years
W3P5W7,Bachelor큦 Degree,1-2 years
W3U6A3,Certificate/Diploma,5-6 years
W3Y4D7,High School or Equivalent,5-6 years
